category,brand,model,weight_kg,reference_price,currency,product_url,official_source
tent,Fire Maple,Tropics 2-Person Backpacking Tent,1.95,209.95,USD,https://www.campgearcompare.com/products/fire-maple-tropics-2-person-backpacking-tent.html,https://firemaplegear.com/products/tropics-2-person-backpacking-tent
tent,Montbell,Chronos Cabin 3 (Meadow Green),5.2,430.0,GBP,https://www.campgearcompare.com/products/montbell-chronos-cabin-3-meadow-green.html,https://www.montbell.co.uk/products/chronos-cabin-3-meadow-green
tent,Montbell,Chronos Dome 2 (Golden Orange),2.44,240.0,GBP,https://www.campgearcompare.com/products/montbell-chronos-dome-2-golden-orange.html,https://www.montbell.co.uk/products/chronos-dome-2-golden-orange
tent,Montbell,Chronos Dome 4 (Thyme),4.0,340.0,GBP,https://www.campgearcompare.com/products/montbell-chronos-dome-4-thyme.html,https://www.montbell.co.uk/products/chronos-dome-4-thyme
tent,Montbell,Rera Dome 4 (Thyme),3.24,335.0,GBP,https://www.campgearcompare.com/products/montbell-rera-dome-4-thyme.html,https://www.montbell.co.uk/products/rera-dome-4-thyme
tent,Montbell,U.L. Dome Shelter 2 (Yellow),0.89,540.0,GBP,https://www.campgearcompare.com/products/montbell-u-l-dome-shelter-2-yellow.html,https://www.montbell.co.uk/products/u-l-dome-shelter-2-yellow
tent,Montbell,U.L. Mono Frame Shelter (Yellow),0.61,430.0,GBP,https://www.campgearcompare.com/products/montbell-u-l-mono-frame-shelter-yellow.html,https://www.montbell.co.uk/products/u-l-mono-frame-shelter-yellow
tent,Naturehike,3 People Pop-Up Camping Tent,3.7,80.28,USD,https://www.campgearcompare.com/products/naturehike-3-people-pop-up-camping-tent.html,https://www.naturehike.com/products/3-people-pop-up-camping-tent
tent,Naturehike,A-Type Cotton Roof Automatic 4 Season Tent,12.0,239.0,USD,https://www.campgearcompare.com/products/naturehike-a-type-cotton-roof-automatic-tent.html,https://www.naturehike.com/products/a-type-cotton-roof-automatic-tent
tent,Naturehike,AIR 7.0 Inflatable Car Tail Tent,21.0,659.0,USD,https://www.campgearcompare.com/products/naturehike-air-7-0-inflatable-car-tail-tent.html,https://www.naturehike.com/products/air-7-0-inflatable-car-tail-tent
tent,Naturehike,Ares Army 4 Season Tent,7.8,209.0,USD,https://www.campgearcompare.com/products/naturehike-ares-army-tent.html,https://www.naturehike.com/products/ares-army-tent
tent,Naturehike,Bleik™ 2-Person Backpacking Tent,2.7,69.99,USD,https://www.campgearcompare.com/products/naturehike-bleiktm-2-person-backpacking-tent.html,https://www.naturehike.com/products/bleiktm-2-person-backpacking-tent
